rate,loss
1.10,0.1
1.11,0.11
1.12,0.12
1.13,0.12
1.14,0.13
1.15,0.14
1.16,0.15
1.17,0.15
1.18,0.16
1.19,0.17
1.20,0.18
1.21,0.18
1.22,0.19
1.23,0.2
1.24,0.2
1.25,0.21
1.26,0.21
1.27,0.22
1.28,0.23
1.29,0.23
1.30,0.24
1.31,0.24
1.32,0.25
1.33,0.25
1.34,0.26
1.35,0.27
1.36,0.27
1.37,0.28
1.38,0.28
1.39,0.29
1.40,0.29
1.41,0.3
1.42,0.3
1.43,0.31
1.44,0.31
1.45,0.32
1.46,0.32
1.47,0.33
1.48,0.33
1.49,0.34
1.50,0.34
1.51,0.35
1.52,0.35
1.53,0.35
1.54,0.36
1.55,0.36
1.56,0.37
1.57,0.37
1.58,0.37
1.59,0.38
1.60,0.38
1.61,0.39
1.62,0.39
1.63,0.39
1.64,0.4
1.65,0.4
1.66,0.41
1.67,0.41
1.68,0.41
1.69,0.42
1.70,0.42
1.71,0.42
1.72,0.43
1.73,0.43
1.74,0.43
1.75,0.44
1.76,0.44
1.77,0.44
1.78,0.45
1.79,0.45
1.80,0.45
1.81,0.46
1.82,0.46
1.83,0.46
1.84,0.46
1.85,0.47
1.86,0.47
1.87,0.47
1.88,0.48
1.89,0.48
1.90,0.48
1.91,0.49
1.92,0.49
1.93,0.49
1.94,0.49
1.95,0.5
1.96,0.5
1.97,0.5
1.98,0.5
1.99,0.51
2.00,0.51
2.01,0.51
2.02,0.51
2.03,0.52
2.04,0.52
2.05,0.52
2.06,0.52
2.07,0.53
2.08,0.53
2.09,0.53
2.10,0.53
2.11,0.53
2.12,0.54
2.13,0.54
2.14,0.54
2.15,0.54
2.16,0.54
2.17,0.55
2.18,0.55
2.19,0.55
2.20,0.55
2.21,0.55
2.22,0.56
2.23,0.56
2.24,0.56
2.25,0.56
2.26,0.56
2.27,0.57
2.28,0.57
2.29,0.57
2.30,0.57
2.31,0.57
2.32,0.58
2.33,0.58
2.34,0.58
2.35,0.58
2.36,0.58
2.37,0.58
2.38,0.59
2.39,0.59
2.40,0.59
2.41,0.59
2.42,0.59
2.43,0.59
2.44,0.6
2.45,0.6
2.46,0.6
2.47,0.6
2.48,0.6
2.49,0.6
2.50,0.61
2.51,0.61
2.52,0.61
2.53,0.61
2.54,0.61
2.55,0.61
2.56,0.62
2.57,0.62
2.58,0.62
2.59,0.62
2.60,0.62
2.61,0.62
2.62,0.63
2.63,0.63
2.64,0.63
2.65,0.63
2.66,0.63
2.67,0.63
2.68,0.63
2.69,0.63
2.70,0.64
2.71,0.64
2.72,0.64
2.73,0.64
2.74,0.64
2.75,0.64
2.76,0.64
2.77,0.65
2.78,0.65
2.79,0.65
2.80,0.65
2.81,0.65
2.82,0.65
2.83,0.65
2.84,0.65
2.85,0.66
2.86,0.66
2.87,0.66
2.88,0.66
2.89,0.66
2.90,0.66
2.91,0.66
2.92,0.66
2.93,0.66
2.94,0.67
2.95,0.67
2.96,0.67
2.97,0.67
2.98,0.67
2.99,0.67
3.00,0.67
3.01,0.67
3.02,0.67
3.03,0.68
3.04,0.68
3.05,0.68
3.06,0.68
3.07,0.68
3.08,0.68
3.09,0.68
3.10,0.68
3.11,0.68
3.12,0.69
3.13,0.69
3.14,0.69
3.15,0.69
3.16,0.69
3.17,0.69
3.18,0.69
3.19,0.69
3.20,0.69
3.21,0.69
3.22,0.7
3.23,0.7
3.24,0.7
3.25,0.7
3.26,0.7
3.27,0.7
3.28,0.7
3.29,0.7
3.30,0.7
3.31,0.7
3.32,0.71
3.33,0.71
3.34,0.71
3.35,0.71
3.36,0.71
3.37,0.71
3.38,0.71
3.39,0.71
3.40,0.71
3.41,0.71
3.42,0.71
3.43,0.71
3.44,0.72
3.45,0.72
3.46,0.72
3.47,0.72
3.48,0.72
3.49,0.72
3.50,0.72
3.51,0.72
3.52,0.72
3.53,0.72
3.54,0.72
3.55,0.72
3.56,0.72
3.57,0.73
3.58,0.73
3.59,0.73
3.60,0.73
3.61,0.73
3.62,0.73
3.63,0.73
3.64,0.73
3.65,0.73
3.66,0.73
3.67,0.73
3.68,0.73
3.69,0.73
3.70,0.74
3.71,0.74
3.72,0.74
3.73,0.74
3.74,0.74
3.75,0.74
3.76,0.74
3.77,0.74
3.78,0.74
3.79,0.74
3.80,0.74
3.81,0.74
3.82,0.74
3.83,0.74
3.84,0.74
3.85,0.74
3.86,0.75
3.87,0.75
3.88,0.75
3.89,0.75
3.90,0.75
3.91,0.75
3.92,0.75
3.93,0.75
3.94,0.75
3.95,0.75
3.96,0.75
3.97,0.75
3.98,0.75
3.99,0.75
4.00,0.75
4.01,0.76
4.02,0.76
4.03,0.76
4.04,0.76
4.05,0.76
4.06,0.76
4.07,0.76
4.08,0.76
4.09,0.76
4.10,0.76
4.11,0.76
4.12,0.76
4.13,0.76
4.14,0.76
4.15,0.76
4.16,0.76
4.17,0.77
4.18,0.77
4.19,0.77
4.20,0.77
4.21,0.77
4.22,0.77
4.23,0.77
4.24,0.77
4.25,0.77
4.26,0.77
4.27,0.77
4.28,0.77
4.29,0.77
4.30,0.77
4.31,0.77
4.32,0.77
4.33,0.77
4.34,0.77
4.35,0.78
4.36,0.78
4.37,0.78
4.38,0.78
4.39,0.78
4.40,0.78
4.41,0.78
4.42,0.78
4.43,0.78
4.44,0.78
4.45,0.78
4.46,0.78
4.47,0.78
4.48,0.78
4.49,0.78
4.50,0.78
4.51,0.78
4.52,0.78
4.53,0.79
4.54,0.79
4.55,0.79
4.56,0.79
4.57,0.79
4.58,0.79
4.59,0.79
4.60,0.79
4.61,0.79
4.62,0.79
4.63,0.79
4.64,0.79
4.65,0.79
4.66,0.79
4.67,0.79
4.68,0.79
4.69,0.79
4.70,0.79
4.71,0.79
4.72,0.79
4.73,0.79
4.74,0.79
4.75,0.8
4.76,0.8
4.77,0.8
4.78,0.8
4.79,0.8
4.80,0.8
4.81,0.8
4.82,0.8
4.83,0.8
4.84,0.8
4.85,0.8
4.86,0.8
4.87,0.8
4.88,0.8
4.89,0.8
4.90,0.8
4.91,0.8
4.92,0.8
4.93,0.8
4.94,0.8
4.95,0.8
4.96,0.8
4.97,0.8
4.98,0.81
4.99,0.81
5.00,0.81
5.01,0.81
5.02,0.81
5.03,0.81
5.04,0.81
5.05,0.81
5.06,0.81
5.07,0.81
5.08,0.81
5.09,0.81
5.10,0.81
5.11,0.81
5.12,0.81
5.13,0.81
5.14,0.81
5.15,0.81
5.16,0.81
5.17,0.81
5.18,0.81
5.19,0.81
5.20,0.81
5.21,0.81
5.22,0.81
5.23,0.82
5.24,0.82
5.25,0.82
5.26,0.82
5.27,0.82
5.28,0.82
5.29,0.82
5.30,0.82
5.31,0.82
5.32,0.82
5.33,0.82
5.34,0.82
5.35,0.82
5.36,0.82
5.37,0.82
5.38,0.82
5.39,0.82
5.40,0.82
5.41,0.82
5.42,0.82
5.43,0.82
5.44,0.82
5.45,0.82
5.46,0.82
5.47,0.82
5.48,0.82
5.49,0.82
5.50,0.82
5.51,0.83
5.52,0.83
5.53,0.83
5.54,0.83
5.55,0.83
5.56,0.83
5.57,0.83
5.58,0.83
5.59,0.83
5.60,0.83
5.61,0.83
5.62,0.83
5.63,0.83
5.64,0.83
5.65,0.83
5.66,0.83
5.67,0.83
5.68,0.83
5.69,0.83
5.70,0.83
5.71,0.83
5.72,0.83
5.73,0.83
5.74,0.83
5.75,0.83
5.76,0.83
5.77,0.83
5.78,0.83
5.79,0.83
5.80,0.83
5.81,0.83
5.82,0.84
5.83,0.84
5.84,0.84
5.85,0.84
5.86,0.84
5.87,0.84
5.88,0.84
5.89,0.84
5.90,0.84
5.91,0.84
5.92,0.84
5.93,0.84
5.94,0.84
5.95,0.84
5.96,0.84
5.97,0.84
5.98,0.84
5.99,0.84
6.00,0.84
6.01,0.84
6.02,0.84
6.03,0.84
6.04,0.84
6.05,0.84
6.06,0.84
6.07,0.84
6.08,0.84
6.09,0.84
6.10,0.84
6.11,0.84
6.12,0.84
6.13,0.84
6.14,0.84
6.15,0.84
6.16,0.84
6.17,0.84
6.18,0.85
6.19,0.85
6.20,0.85
6.21,0.85
6.22,0.85
6.23,0.85
6.24,0.85
6.25,0.85
6.26,0.85
6.27,0.85
6.28,0.85
6.29,0.85
6.30,0.85
6.31,0.85
6.32,0.85
6.33,0.85
6.34,0.85
6.35,0.85
6.36,0.85
6.37,0.85
6.38,0.85
6.39,0.85
6.40,0.85
6.41,0.85
6.42,0.85
6.43,0.85
6.44,0.85
6.45,0.85
6.46,0.85
6.47,0.85
6.48,0.85
6.49,0.85
6.50,0.85
6.51,0.85
6.52,0.85
6.53,0.85
6.54,0.85
6.55,0.85
6.56,0.85
6.57,0.85
6.58,0.85
6.59,0.85
6.60,0.86
6.61,0.86
6.62,0.86
6.63,0.86
6.64,0.86
6.65,0.86
6.66,0.86
6.67,0.86
6.68,0.86
6.69,0.86
6.70,0.86
6.71,0.86
6.72,0.86
6.73,0.86
6.74,0.86
6.75,0.86
6.76,0.86
6.77,0.86
6.78,0.86
6.79,0.86
6.80,0.86
6.81,0.86
6.82,0.86
6.83,0.86
6.84,0.86
6.85,0.86
6.86,0.86
6.87,0.86
6.88,0.86
6.89,0.86
6.90,0.86
6.91,0.86
6.92,0.86
6.93,0.86
6.94,0.86
6.95,0.86
6.96,0.86
6.97,0.86
6.98,0.86
6.99,0.86
7.00,0.86
7.01,0.86
7.02,0.86
7.03,0.86
7.04,0.86
7.05,0.86
7.06,0.86
7.07,0.87
7.08,0.87
7.09,0.87
7.10,0.87
7.11,0.87
7.12,0.87
7.13,0.87
7.14,0.87
7.15,0.87
7.16,0.87
7.17,0.87
7.18,0.87
7.19,0.87
7.20,0.87
7.21,0.87
7.22,0.87
7.23,0.87
7.24,0.87
7.25,0.87
7.26,0.87
7.27,0.87
7.28,0.87
7.29,0.87
7.30,0.87
7.31,0.87
7.32,0.87
7.33,0.87
7.34,0.87
7.35,0.87
7.36,0.87
7.37,0.87
7.38,0.87
7.39,0.87
